"","sub","time_stamp","eye","offset","x_pos","y_pos","x_offset","y_offset"
"158",3,12286664,"RIGHT",0.24,1804,540,-7.2,-10.8
"159",3,12286664,"RIGHT",1.36,216,145,57.4,48.5
"160",3,12286664,"RIGHT",1.39,1703,145,19.2,-74.6
"161",3,12286664,"RIGHT",0.62,216,934,8.7,-33.4
"162",3,12286664,"RIGHT",0.36,1703,934,19.6,2.9
"163",3,12602040,"RIGHT",0.24,960,540,2,13
"164",3,12602040,"RIGHT",0.9,960,92,-4.4,49.8
"165",3,12602040,"RIGHT",0.34,960,987,1,18.5
"166",3,12602040,"RIGHT",0.14,115,540,0.7,-7.8
"167",3,12602040,"RIGHT",0.48,1804,540,24.1,-11.4
"168",3,12602040,"RIGHT",1.14,216,145,56,29.2
"169",3,12602040,"RIGHT",1.7,1703,145,58.6,-74
"170",3,12602040,"RIGHT",0.57,216,934,8.4,-30.6
"171",3,12602040,"RIGHT",0.06,1703,934,3.2,1.4
"172",3,12846484,"RIGHT",0.47,960,540,0.9,-25.8
"173",3,12846484,"RIGHT",0.1,960,92,5.2,-2.2
"174",3,12846484,"RIGHT",0.31,960,987,-10.6,13.6
"175",3,12846484,"RIGHT",0.19,115,540,10,2.4
"176",3,12846484,"RIGHT",0.02,1804,540,-1,-0.1
"177",3,12846484,"RIGHT",0.56,216,145,24.8,18.9
"178",3,12846484,"RIGHT",1.59,1703,145,67.3,-56.9
"179",3,12846484,"RIGHT",0.54,216,934,4.4,-29.7
"180",3,12846484,"RIGHT",0.35,1703,934,-10.1,-16.3
"181",3,13164158,"RIGHT",0.74,960,540,-6.3,-40.8
"182",3,13164158,"RIGHT",0.25,960,92,0.2,-13.7
"183",3,13164158,"RIGHT",0.8,960,987,-36.5,25.1
"184",3,13164159,"RIGHT",0.32,115,540,11.8,13
"185",3,13164159,"RIGHT",0.97,1804,540,42.8,-32.8
"186",3,13164159,"RIGHT",1.01,216,145,41.7,37.5
"187",3,13164159,"RIGHT",1.03,1703,145,31,-48.5
