"","char","letter","x1","y1","x2","y2","space","sent","line","word","word_line","line_char","wordID","char_word"
"1",0,"J",600,151,610,209,NA,1,1,1,1,1,"John",1
"3",1,"o",610,151,620,209,NA,1,1,1,1,2,"John",2
"5",2,"h",620,151,630,209,NA,1,1,1,1,3,"John",3
"7",3,"n",630,151,640,209,NA,1,1,1,1,4,"John",4
"9",4,"",NA,640,151,650,NA,1,1,2,1,5,"Roebling",0
"11",5,"R",650,151,660,209,NA,1,1,2,1,6,"Roebling",1
"13",6,"o",660,151,670,209,NA,1,1,2,1,7,"Roebling",2
"15",7,"e",670,151,680,209,NA,1,1,2,1,8,"Roebling",3
"17",8,"b",680,151,690,209,NA,1,1,2,1,9,"Roebling",4
"19",9,"l",690,151,700,209,NA,1,1,2,1,10,"Roebling",5
"21",10,"i",700,151,710,209,NA,1,1,2,1,11,"Roebling",6
"23",11,"n",710,151,720,209,NA,1,1,2,1,12,"Roebling",7
"25",12,"g",720,151,730,209,NA,1,1,2,1,13,"Roebling",8
"27",13,"",730,151,740,209,1,1,1,3,2,14,"was",0
"29",14,"w",740,151,750,209,NA,1,1,3,2,15,"was",1
"31",15,"a",750,151,760,209,NA,1,1,3,2,16,"was",2
"33",16,"s",760,151,770,209,NA,1,1,3,2,17,"was",3
"35",17,"",770,151,780,209,1,1,1,4,3,18,"a",0
"37",18,"a",780,151,790,209,NA,1,1,4,3,19,"a",1
"39",19,"",790,151,800,209,1,1,1,5,4,20,"pioneer",0
"41",20,"p",800,151,810,209,NA,1,1,5,4,21,"pioneer",1
"43",21,"i",810,151,820,209,NA,1,1,5,4,22,"pioneer",2
"45",22,"o",820,151,830,209,NA,1,1,5,4,23,"pioneer",3
"47",23,"n",830,151,840,209,NA,1,1,5,4,24,"pioneer",4
"49",24,"e",840,151,850,209,NA,1,1,5,4,25,"pioneer",5
"51",25,"e",850,151,860,209,NA,1,1,5,4,26,"pioneer",6
"53",26,"r",860,151,870,209,NA,1,1,5,4,27,"pioneer",7
"55",27,"",870,151,880,209,1,1,1,6,5,28,"in",0
"57",28,"i",880,151,890,209,NA,1,1,6,5,29,"in",1
"59",29,"n",890,151,900,209,NA,1,1,6,5,30,"in",2
"61",30,"",900,151,910,209,1,1,1,7,6,31,"building",0
"63",31,"b",910,151,920,209,NA,1,1,7,6,32,"building",1
"65",32,"u",920,151,930,209,NA,1,1,7,6,33,"building",2
"67",33,"i",930,151,940,209,NA,1,1,7,6,34,"building",3
"69",34,"l",940,151,950,209,NA,1,1,7,6,35,"building",4
"71",35,"d",950,151,960,209,NA,1,1,7,6,36,"building",5
"73",36,"i",960,151,970,209,NA,1,1,7,6,37,"building",6
"75",37,"n",970,151,980,209,NA,1,1,7,6,38,"building",7
"77",38,"g",980,151,990,209,NA,1,1,7,6,39,"building",8
"79",39,"",990,151,1000,209,1,1,1,8,7,40,"suspension",0
"81",40,"s",1000,151,1010,209,NA,1,1,8,7,41,"suspension",1
"83",41,"u",1010,151,1020,209,NA,1,1,8,7,42,"suspension",2
"85",42,"s",1020,151,1030,209,NA,1,1,8,7,43,"suspension",3
"87",43,"p",1030,151,1040,209,NA,1,1,8,7,44,"suspension",4
"89",44,"e",1040,151,1050,209,NA,1,1,8,7,45,"suspension",5
"91",45,"n",1050,151,1060,209,NA,1,1,8,7,46,"suspension",6
"93",46,"s",1060,151,1070,209,NA,1,1,8,7,47,"suspension",7
"95",47,"i",1070,151,1080,209,NA,1,1,8,7,48,"suspension",8
"97",48,"o",1080,151,1090,209,NA,1,1,8,7,49,"suspension",9
"99",49,"n",1090,151,1100,209,NA,1,1,8,7,50,"suspension",10
"101",50,"",1100,151,1110,209,1,1,1,9,8,51,"bridges.",0
"103",51,"b",1110,151,1120,209,NA,1,1,9,8,52,"bridges.",1
"105",52,"r",1120,151,1130,209,NA,1,1,9,8,53,"bridges.",2
"107",53,"i",1130,151,1140,209,NA,1,1,9,8,54,"bridges.",3
"109",54,"d",1140,151,1150,209,NA,1,1,9,8,55,"bridges.",4
"111",55,"g",1150,151,1160,209,NA,1,1,9,8,56,"bridges.",5
"113",56,"e",1160,151,1170,209,NA,1,1,9,8,57,"bridges.",6
"115",57,"s",1170,151,1180,209,2,1,1,9,8,58,"bridges.",7
"117",58,".",1180,151,1190,209,NA,1,2,9,1,1,"bridges.",8
"119",60,"R",600,219,610,277,NA,2,2,1,1,2,"Roebling",1
"121",61,"o",610,219,620,277,NA,2,2,1,1,3,"Roebling",2
"123",62,"e",620,219,630,277,NA,2,2,1,1,4,"Roebling",3
"125",63,"b",630,219,640,277,NA,2,2,1,1,5,"Roebling",4
"127",64,"l",640,219,650,277,NA,2,2,1,1,6,"Roebling",5
"129",65,"i",650,219,660,277,NA,2,2,1,1,7,"Roebling",6
"131",66,"n",660,219,670,277,NA,2,2,1,1,8,"Roebling",7
"133",67,"g",670,219,680,277,NA,2,2,1,1,9,"Roebling",8
"135",68,"",680,219,690,277,1,2,2,2,2,10,"was",0
"137",69,"w",690,219,700,277,NA,2,2,2,2,11,"was",1
